Date;identifiant;Genre;Annee_diplome;Type_formation;Filiere;Situation;Secteur;Nature_contrat;France;Region;Pays;Anciennete;Disposez-vous d'une RQTH (Reconnaissance de la qualite de Travailleur Handicape)?;Nom_entreprise;Taille_entreprise;Departement;Intitule_poste;Secteur_activite;Salaire_annuel;Responsabilite_hierarchique;Responsabilite_budget;Responsabilite_equipe;Responsabilite_projet;Satisfaction_globale;Saitisfaction_relations;Satisfaction_salaire;Satisfaction_autonomie;Satisfaction_localisation
21/02/2019 22:28;1794680911303500    ;Homme;2018;Initiale;MI;Etudes;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 13:33;1899261169113090    ;Femme;2016;Initiale;GBA;Activite;Public;CDI;France;Nouvelle-Aquitaine;;29;Non;Lindt & Spr?ngli;250_4999;"Production - Exploitation";;Industrie agroalimentaire ;;OUI;NON;OUI;OUI;2;3;3;2;2
08/02/2019 17:46;1783865938042470    ;Femme;2018;Initiale;STE;Etudes;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 13:36;1776102349584110    ;Homme;2017;Apprentissage;SE;These;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 13:38;1788460261689950    ;Homme;2018;Professionalisation;MAT;Activite;Prive;CDI;France;Occitanie;;4;Non;DEDIENNE SANTE;20_49;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur BE;Metallurgie et fabrication de produits metalliques a l'exception des machines et des equipements;28500;NON;NON;NON;OUI;5;5;4;4;5
08/02/2019 13:41;1889201167052750    ;Homme;2018;Initiale;IG;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;10;Non;Cellance;10_19;Informatique industrielle et technique ;Developpeur web;Societes de conseil, bureaux d'etudes;34000;NON;NON;NON;NON;5;5;3;5;5
08/02/2019 13:41;1793786712145760    ;Homme;2018;Initiale;IG;Activite;Prive;CDI;Etranger;;Royaume-Uni;6;Non;Night Zookeeper;_10;Informatique industrielle et technique ;Full stack developer;Autres secteurs ;51437;NON;NON;NON;OUI;5;5;5;5;5
11/02/2019 19:15;1889049466139250    ;Femme;2018;Initiale;STE;Activite;Prive;CDI;France;Nouvelle-Aquitaine;;6;Non;PROLOG INGENIERIE;20_49;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Chargee d'etudes en hydraulique;Production et distribution d'eau assainissement, gestion des dechets et depollution;31000;NON;NON;NON;OUI;5;5;5;5;5
08/02/2019 13:46;1777070157836320    ;Homme;2017;Initiale;MEA;These;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 17:31;1888404484035290    ;Homme;2017;Initiale;STE;Volontariat;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 13:46;1857533979676060    ;Femme;2017;Initiale;MAT;Activite;Prive;CDI;France;ile-de-France;;14;Non;PONTICELLI Freres ;250_4999;Assistance technique;Ingenieur soudage et controles;Construction, BTP;34000;NON;NON;NON;OUI;4;5;2;4;2
08/02/2019 13:47;1789246012863790    ;Femme;2017;Professionalisation;GBA;Activite;Prive;CDI;France;Occitanie;;3;;Efficient Innovation;50_249;Etudes - Conseil et expertise (autre qu'informatique);Consultante en innovation;Societes de conseil, bureaux d'etudes;31000;NON;OUI;NON;OUI;5;5;3;5;5
08/02/2019 13:49;1789078855280910    ;Femme;2016;Initiale;GBA;Sans activite volontairement;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 13:49;1776107021284160    ;Homme;2016;Initiale;MAT;Activite;Prive;CDD;France;Provence-Alpes-Cote d'Azur;;3;Non;Saint-Gobain Recherche Provence ;5000_;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur R&D;Recherche-developpement scientifique;35000;NON;NON;OUI;OUI;4;5;3;5;4
08/02/2019 13:52;1783100911271340    ;Homme;2018;Apprentissage;SE;Activite;Prive;CDI;France;Occitanie;;5;Non;Liebherr;250_4999;Informatique industrielle et technique ;Concepteur logiciel;Industrie automobile, aeronautique, navale, ferroviaire;40000;NON;OUI;NON;OUI;4;5;2;4;5
08/02/2019 13:53;1767362704614120    ;Homme;2017;Initiale;GBA;Recherche;;;;;;;;;;;;;;;;;;;;;;
26/02/2019 15:15;1889049454965750    ;Femme;2017;Initiale;STE;Activite;Prive;CDI;France;Provence-Alpes-Cote d'Azur;;3;Non;CNIM;250_4999;Etudes - Conseil et expertise (autre qu'informatique);Ingenieur process;Autres industries (bois, imprimerie, fabrication, reparation et installation de machines et d'equipements, ...);;NON;NON;NON;OUI;4;4;4;5;5
08/02/2019 13:54;1793838194320470    ;Femme;2016;Initiale;GBA;Activite;Prive;CDI;France;Grand Est;;22;Non;Alsace Lait;50_249;Production - Exploitation ;Ordonnanceur / planificateur;Industrie agroalimentaire ;35000;NON;NON;NON;OUI;4;5;4;5;4
08/02/2019 16:04;1806734045417840    ;Homme;2017;Initiale;STE;Activite;Prive;CDI;France;Occitanie;;7;Non;Eten-Environement ;10_19;Production - Exploitation ;Charge de mission hydraulique ;Autres activites specialisees, scientifiques et techniques;19000;NON;NON;NON;OUI;4;5;3;4;4
10/04/2019 14:15;1782338010029830    ;Femme;2016;Initiale;STE;Activite;Prive;CDI;France;ile-de-France;;24;Non;SEPIA Conseils;20_49;Etudes - Conseil et expertise (autre qu'informatique);Ingenieure d'etudes;Societes de conseil, bureaux d'etudes;28800;NON;OUI;NON;OUI;1;4;1;2;1
11/02/2019 15:45;1789420285265510    ;Femme;2018;Initiale;GBA;Activite;Prive;CDI;France;ile-de-France;;5;Non;FOODMEAT;10_19;Qualite, securite, s?rete de fonctionnement ;Responsable qualite;Industrie agroalimentaire ;31200;;OUI;NON;NON;4;4;3;5;3
08/02/2019 14:12;1782332412252700    ;Homme;2018;Initiale;MAT;Activite;Prive;CDI;France;Provence-Alpes-Cote d'Azur;;5;Non;Sogeti High Tech;250_4999;Production - Exploitation ;Concepteur de pieces pour le nucleaire;Societes de conseil, bureaux d'etudes;32500;NON;NON;NON;NON;3;4;2;4;4
08/02/2019 14:14;1788636477108340    ;Homme;2018;Initiale;MEA;Activite;Prive;CDI;France;Occitanie;;6;Non;Hardtech;50_249;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur R&D;Metallurgie et fabrication de produits metalliques a l'exception des machines et des equipements;30000;NON;NON;NON;NON;5;5;4;5;3
08/02/2019 14:14;1768183682286130    ;Homme;2018;Initiale;MEA;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;11;Non;Viveris Technologies;250_4999;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur systemes embarques;Societes de conseil, bureaux d'etudes;31500;NON;OUI;NON;NON;4;5;3;5;4
08/02/2019 14:15;1788742361243300    ;Homme;2018;Apprentissage;SE;Activite;Prive;CDD;France;Occitanie;;4;Non;MWSC;10_19;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur en systemes embarques;Recherche-developpement scientifique;29000;NON;NON;NON;OUI;5;5;4;4;5
08/02/2019 14:15;1783165082353270    ;Homme;2017;Initiale;MEA;Activite;Prive;CDI;France;ile-de-France;;;Non;Nokia;5000_;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur FPGA;Telecommunications;;;;;;5;;;;
08/02/2019 17:55;1889049477373780    ;Femme;2017;Initiale;STE;Activite;Prive;CTT;France;Auvergne-Rhone-Alpes;;14;Non;EDF Centre d'Ingenierie Hydraulique;250_4999;Environnement & Societe;Ingenieure Environnement;energie (Production et distribution d'electricite, de gaz, de vapeur et d'air conditionne);;NON;NON;NON;OUI;5;5;5;4;5
08/02/2019 14:20;1789312715006830    ;Homme;2018;Initiale;IG;Activite;Prive;CDI;Etranger;;Royaume-Uni;5;Non;BigSofa Tech;20_49;Informatique industrielle et technique ;Front-End developer;Autres activites specialisees, scientifiques et techniques;45712;NON;NON;NON;NON;4;4;4;4;5
25/02/2019 23:52;1782592482723010    ;Femme;2016;Initiale;STE;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;30;Non;SAFEGE;250_4999;Etudes - Conseil et expertise (autre qu'informatique);Ingenieur de projet en hydraulique urbaine;Autres activites specialisees, scientifiques et techniques;32000;NON;OUI;NON;OUI;4;5;3;4;5
08/02/2019 14:20;1794681019749420    ;Homme;2017;Apprentissage;SE;These;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 14:21;1794775599416140    ;Homme;2018;Apprentissage;MSI;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;4;Non;SPIE Industrie et Tertiaire;5000_;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Charge d'affaires;Metallurgie et fabrication de produits metalliques a l'exception des machines et des equipements;39000;OUI;OUI;OUI;OUI;4;5;4;4;4
08/02/2019 14:22;1768555977764870    ;Homme;2018;Initiale;MAT;Activite;Prive;CDI;France;Nouvelle-Aquitaine;;6;Non;ENGIE AXIMA;5000_;Etudes - Conseil et expertise (autre qu'informatique);Ingenieur Bureau d'etude;energie (Production et distribution d'electricite, de gaz, de vapeur et d'air conditionne);36000;OUI;OUI;OUI;OUI;4;5;4;5;5
08/02/2019 14:23;1789196580224290    ;Homme;2018;Initiale;MEA;Activite;Prive;CDI;France;Centre-Val de Loire;;1;Non;Ardatem;250_4999;Informatique industrielle et technique ;Ingenieur en automatismes;Industrie automobile, aeronautique, navale, ferroviaire;28800;NON;NON;NON;NON;5;5;3;4;3
18/03/2019 12:32;1793786662512000    ;Homme;2017;Apprentissage;MSI;Activite;Prive;CDI;France;Occitanie;;5;Non;ORYS Groupe ORTEC;50_249;Production - Exploitation ;Ingenieur Soudeur IWE;energie (Production et distribution d'electricite, de gaz, de vapeur et d'air conditionne);40000;OUI;OUI;OUI;OUI;4;5;3;3;4
14/04/2019 12:04;1767473227322890    ;Homme;2018;Initiale;STE;Recherche;;;;;;;;;;;;;;;;;;;;;;
25/02/2019 13:34;1989049466189050    ;Femme;2016;Initiale;MI;Activite;Prive;CDI;France;Provence-Alpes-Cote d'Azur;;31;Non;Capgemini (nouveau nom de Sogeti Hight Tech);5000_;Etudes - Conseil et expertise (autre qu'informatique);Concepteur;energie (Production et distribution d'electricite, de gaz, de vapeur et d'air conditionne);31500;OUI;NON;OUI;NON;4;3;3;3;5
08/02/2019 14:29;1893841532571100    ;Homme;2016;Initiale;MEA;Recherche;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 14:31;1867772706661410    ;Homme;2017;Initiale;MEA;Activite;Prive;CDI;France;ile-de-France;;15;Non;Apside Technologies;250_4999;Informatique industrielle et technique ;Ingenieur FPGA;Industrie automobile, aeronautique, navale, ferroviaire;;NON;NON;NON;NON;4;5;3;4;3
08/02/2019 14:32;1788516703736650    ;Femme;2016;Initiale;IG;Activite;Prive;CDI;France;ile-de-France;;4;Non;Air Frace;5000_;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Dimensionneur effectifs PNC;Industrie automobile, aeronautique, navale, ferroviaire;38000;NON;NON;NON;NON;5;5;3;3;3
08/02/2019 14:33;1802846091119630    ;Femme;2016;Initiale;GBA;Activite;Prive;CDI;France;Pays de la Loire;;24;Non;Capgemini;5000_;Etudes et developpement en systemes d'information ;Consultant decisionnel;Activites informatiques et services d'information (TIC services);36500;NON;NON;NON;OUI;4;5;3;4;5
08/02/2019 17:08;1783045884698430    ;Femme;2018;Initiale;GBA;Etudes;;;;;;;;;;;;;;;;;;;;;;
