Date,Identifiant,Genre,Annee_diplome,Type_formation,Filiere,Situation_actuelle,Nature_contrat,Region,Pays,Pays_etranger,Anciennete,Secteur,Nom_entreprise,Taille_entreprise,Departement,Intitule_poste,Secteur_activite,Salaire_annuel_brut,Salaire_annuel_brut_primes,Responsabilite_hierarchique,Responsabilite_budget,Responsabilite_equipe,Responsabilite_projet,Satisfaction_relations,Satisfaction_salaire,Satisfaction_autonomie,Satisfaction_localisation,Satisfaction_globale
2023-05-12 19:34:19,1877094908161080.0,Femme,2021,Professionalisation,MAT,Recherche,,,,,,,,,,,,,,,,,,,,,,
2023-05-12 15:23:44,1788522987549900.0,Homme,2022,Professionalisation,MI,Activite,CDI,Occitanie,France,,10.0,Prive,Outremer,50_249,"Methodes, controle de production, maintenance",Ingenieur Methodes Amelioration Continue,"Industrie automobile, aeronautique, navale, ferroviaire",,,OUI,OUI,NON,OUI,5.0,2.0,4.0,5.0,4.0
2023-05-12 11:58:53,1875368398704990.0,Femme,2020,Initiale,MI,These,,,,,,,,,,,,,,,,,,,,,,
2023-05-12 10:22:49,1789638166758090.0,Homme,2021,Initiale,MI,These,,,,,,,,,,,,,,,,,,,,,,
2023-05-11 21:59:53,1883495518818740.0,Femme,2022,Initiale,MI,Etudes,,,,,,,,,,,,,,,,,,,,,,
2023-05-11 21:53:34,1789471952345730.0,Homme,2022,Initiale,MI,Recherche,,,,,,,,,,,,,,,,,,,,,,
2023-05-11 21:25:29,1875955534469790.0,Homme,2022,Initiale,MI,Activite,CDI,ile-de-France,France,,1.0,Prive,SA,5000_,"Innovation, transfert de technologie, propriete industrielle, brevets",Ingenieur RetT conception mecanique de soufflante non carrenee,"Industrie automobile, aeronautique, navale, ferroviaire",,,NON,NON,NON,OUI,3.0,4.0,3.0,2.0,5.0
2023-05-11 20:17:37,1857617044266120.0,Homme,2020,Initiale,STE,Activite,CDIC,Provence-Alpes-Cote d'Azur,France,,24.0,Prive,Catep,5000_,,Ingenieur Hydraulique Urbaine,Autres secteurs ,32000.0,32479.0,NON,NON,NON,NON,5.0,3.0,4.0,4.0,4.0
2023-05-11 19:36:42,1782520393235650.0,Homme,2022,Professionalisation,MI,Recherche,,,,,,,,,,,,,,,,,,,,,,
2023-05-11 17:44:34,1793784710212640.0,Homme,2022,Professionalisation,STE,Activite,CDD,Auvergne-Rhone-Alpes,France,,8.0,Prive,Saur,20_49,,,"Production et distribution d'eau assainissement, gestion des dechets et depollution",,,,,,,,,,,
2023-05-11 15:51:55,1793841807785750.0,Homme,2022,Initiale,MI,Activite,CDI,Nouvelle-Aquitaine,France,,4.0,Public,S. A. I,10_19,Informatique industrielle et technique ,Ingenieur d'application ,"Industrie automobile, aeronautique, navale, ferroviaire",30000.0,33700.0,NON,NON,NON,NON,5.0,2.0,5.0,4.0,2.0
2023-05-11 14:55:37,1898759976265950.0,Homme,2021,Initiale,MI,Sans Activite volontairement,,,,,,,,,,,,,,,,,,,,,,
2023-05-11 14:24:25,1819801253570700.0,Femme,2022,Initiale,MI,These,,,,,,,,,,,,,,,,,,,,,,
2023-05-11 13:53:24,1896056151835160.0,Homme,2022,Professionalisation,MI,Etudes,,,,,,,,,,,,,,,,,,,,,,
2023-05-11 10:56:26,1783106098956790.0,Homme,2020,Initiale,STE,Activite,CDD,Occitanie,France,,7.0,Public,Universite de Montpellier,250_4999,Enseignement - Formation ,Assistant Pedagogique,"Enseignement, recherche",10256.0,10256.0,NON,NON,NON,NON,5.0,2.0,,5.0,5.0
2023-05-10 09:41:55,1782332270607280.0,Homme,2021,Professionalisation,MI,These,,,,,,,,,,,,,,,,,,,,,,
2023-05-10 09:34:38,1798760313495600.0,Homme,2021,Initiale,MI,Activite,CDI,ile-de-France,France,,1.0,Prive,Reseau de Transport de l'electricite (RTE),5000_,etude statistiques et informatiques,Data Scientist,"energie (Production et distribution d'electricite, de gaz, de vapeur et d'air conditionne)",47000.0,55000.0,NON,NON,NON,NON,4.0,5.0,4.0,4.0,5.0
