Date;identifiant;Genre;Annee_diplome;Type_formation;Filiere;Situation;Secteur;Nature_contrat;France;Region;Pays;Anciennete;Disposez-vous d'une RQTH (Reconnaissance de la qualité de Travailleur Handicapé)?;Nom_entreprise;Taille_entreprise;Departement;Intitule_poste;Secteur_activite;Salaire_annuel;Responsabilite_hierarchique;Responsabilite_budget;Responsabilite_equipe;Responsabilite_projet;Satisfaction_globale;Saitisfaction_relations;Satisfaction_salaire;Satisfaction_autonomie;Satisfaction_localisation
21/02/2019 22:28;1794680911303500;Homme;2018;Initiale;MI;Etudes;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 13:33;1899261169113090;Femme;2016;Initiale;GBA;Activite;Public;CDI;En France;Nouvelle-Aquitaine;;29;Non;Lindt & Sprüngli;250 à  4 999 salarié(e)s ;Production - Exploitation ;;Industrie agroalimentaire ;;OUI;NON;OUI;OUI;2;3;3;2;2
08/02/2019 17:46;1783865938042470;Femme;2018;Initiale;STE;Etudes;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 13:36;1776102349584110;Homme;2017;Apprentissage;SE;These;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 13:38;1788460261689950;Homme;2018;Professionalisation;MAT;Activite;Privé;CDI;En France;Occitanie;;4;Non;DEDIENNE SANTE;De 20 à 49 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Ingénieur BE;Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements;28500;NON;NON;NON;OUI;5;5;4;4;5
08/02/2019 13:41;1889201167052750;Homme;2018;Initiale;IG;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;10;Non;Cellance;De 10 à 19 salarié(e)s ;Informatique industrielle et technique ;Développeur web;Sociétés de conseil, bureaux d'études;34000;NON;NON;NON;NON;5;5;3;5;5
08/02/2019 13:41;1793786712145760;Homme;2018;Initiale;IG;Activite;Privé;CDI;A l'étranger;;Royaume-Uni;6;Non;Night Zookeeper; Moins de 10 salarié(e)s ;Informatique industrielle et technique ;Full stack developer;Autres secteurs ;51437;NON;NON;NON;OUI;5;5;5;5;5
11/02/2019 19:15;1889049466139250;Femme;2018;Initiale;STE;Activite;Privé;CDI;En France;Nouvelle-Aquitaine;;6;Non;PROLOG INGENIERIE;De 20 à 49 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Chargée d'études en hydraulique;Production et distribution d'eau assainissement, gestion des déchets et dépollution;31000;NON;NON;NON;OUI;5;5;5;5;5
08/02/2019 13:46;1777070157836320;Homme;2017;Initiale;MEA;These;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 17:31;1888404484035290;Homme;2017;Initiale;STE;Volontariat;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 13:46;1857533979676060;Femme;2017;Initiale;MAT;Activite;Privé;CDI;En France;Île-de-France;;14;Non;PONTICELLI Frères ;250 à  4 999 salarié(e)s ;Assistance technique;Ingénieur soudage et contrôles;Construction, BTP;34000;NON;NON;NON;OUI;4;5;2;4;2
08/02/2019 13:47;1789246012863790;Femme;2017;Professionalisation;GBA;Activite;Privé;CDI;En France;Occitanie;;3;;Efficient Innovation;De 50 à 249 salarié(e)s ;Etudes - Conseil et expertise (autre qu'informatique);Consultante en innovation;Sociétés de conseil, bureaux d'études;31000;NON;OUI;NON;OUI;5;5;3;5;5
08/02/2019 13:49;1789078855280910;Femme;2016;Initiale;GBA;Sans activité volontairement;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 13:49;1776107021284160;Homme;2016;Initiale;MAT;Activite;Privé;CDD;En France;Provence-Alpes-Côte d'Azur;;3;Non;Saint-Gobain Recherche Provence ;5 000 salarié(e)s ou plus;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Ingénieur R&D;Recherche-développement scientifique;35000;NON;NON;OUI;OUI;4;5;3;5;4
08/02/2019 13:52;1783100911271340;Homme;2018;Apprentissage;SE;Activite;Privé;CDI;En France;Occitanie;;5;Non;Liebherr;250 à  4 999 salarié(e)s ;Informatique industrielle et technique ;Concepteur logiciel;Industrie automobile, aéronautique, navale, ferroviaire;40000;NON;OUI;NON;OUI;4;5;2;4;5
