Date;Genre;identifiant;Annee_diplome;Type_formation;Filiere;Situation;Secteur;Nature_contrat;France;Region;Pays;Anciennete;Nom_entreprise;Taille_entreprise;Departement;Intitule_poste;Secteur_activite;Salaire_annuel;Responsabilite_hierarchique;Responsabilite_budget;Responsabilite_equipe;Responsabilite_projet;Satisfaction_globale;Saitisfaction_relations;Satisfaction_salaire;Satisfaction_autonomie;Satisfaction_localisation
20/01/2020 15:55;Femme;1888802848469470;2017;Professionalisation;GBA;Activite;Privé;CDI;A l'étranger;;Royaume-Uni;3;PPD;250 à  4 999 salarié(e)s ;Qualité, sécurité, sûreté de fonctionnement ;Spécialiste en information médicale ;Industrie pharmaceutique;41000;NON;NON;NON;NON;3;4;4;3;3
21/01/2020 18:29;Homme;1777059846996580;2017;Initiale;MAT;Activite;Privé;CDI;En France;Occitanie;;24;Alten;5 000 salarié(e)s ou plus;Qualité, sécurité, sûreté de fonctionnement ;Ingénieur qualité ;Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants;33000;NON;NON;NON;OUI;4;5;3;4;5
11/01/2020 10:12;Femme;1789080967437430;2017;Initiale;STE;Activite;Privé;CDI;En France;Provence-Alpes-Côte d'Azur;;14;Cnim;250 à  4 999 salarié(e)s ;Production - Exploitation ;Ingénieur process ;Industrie chimique;;NON;NON;NON;NON;4;4;4;4;5
10/01/2020 16:43;Homme;1882881049834530;2017;Initiale;MEA;Activite;Privé;CDI;En France;Occitanie;;28;IoTerop;De 10 à 19 salarié(e)s ;Informatique industrielle et technique ;Ingénieur embarqué système;Télécommunications;33000;NON;NON;NON;OUI;4;4;3;5;4
10/01/2020 18:26;Homme;1806734045417840;2017;Initiale;STE;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;1;Sopra Steria ;250 à  4 999 salarié(e)s ;Assistance technique;Appuie support informatique ;Activités informatiques et services d'information (TIC services);26000;NON;NON;NON;NON;3;5;3;2;4
13/01/2020 09:25;Homme;1982920793866040;2017;Apprentissage;EGC;Activite;Privé;CDI;En France;Provence-Alpes-Côte d'Azur;;16;Eiffage Génie Civil;5 000 salarié(e)s ou plus;Production - Exploitation ;Ingénieur Travaux;Construction, BTP;40000;OUI;OUI;OUI;OUI;3;4;3;4;4
10/01/2020 21:22;Femme;1783045885270760;2017;Initiale;GBA;Activite;Privé;CDI;En France;Pays de la Loire;;1;Les serres de la piogerie;250 à  4 999 salarié(e)s ;Production - Exploitation ;;Industrie agroalimentaire ;40000;OUI;NON;OUI;OUI;5;5;4;5;5
11/01/2020 11:28;Femme;1775640761912420;2017;Professionalisation;GBA;Activite;Privé;CDI;En France;Occitanie;;29;Impac ingenierie ;250 à  4 999 salarié(e)s ;;Clinical Supply Packaging Manager ;Industrie pharmaceutique;39000;NON;NON;NON;OUI;4;5;4;4;3
10/01/2020 16:12;Homme;1776102349584110;2017;Apprentissage;SE;These;;;;;;;;;;;;;;;;;;;;;
10/01/2020 18:53;Homme;1888636169617940;2017;Initiale;IG;Activite;Privé;CDI;En France;Occitanie;;11;Altran;5 000 salarié(e)s ou plus;Etudes et développement en systèmes d'information ;Consultant;Activités informatiques et services d'information (TIC services);32000;NON;NON;NON;NON;4;5;3;3;5
10/01/2020 18:12;Homme;1782851145585420;2017;Apprentissage;MSI;Activite;Privé;CDI;A l'étranger;;GABON;0;TISSOT INDUSTRIE SAS;De 50 à 249 salarié(e)s ;Production - Exploitation ;;Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements;65000;NON;OUI;NON;OUI;4;3;3;5;3
11/01/2020 09:17;Femme;1793744700896510;2017;Initiale;MAT;Activite;Privé;CDI;En France;Occitanie;;25;Alten ;5 000 salarié(e)s ou plus;Méthodes, contrôle de production, maintenance;Méthodes usinage sur site de production ;Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants;33000;OUI;NON;OUI;OUI;4;5;3;4;5
