Date;Genre;identifiant;Annee_diplome;Type_formation;Filiere;Situation;Secteur;Nature_contrat;France;Region;Pays;Anciennete;Nom_entreprise;Taille_entreprise;Departement;Intitule_poste;Secteur_activite;Salaire_annuel;Responsabilite_hierarchique;Responsabilite_budget;Responsabilite_equipe;Responsabilite_projet;Satisfaction_globale;Saitisfaction_relations;Satisfaction_salaire;Satisfaction_autonomie;Satisfaction_localisation
20/01/2020 15:55;Femme;1888802848469470    ;2017;Professionalisation;GBA;Activite;Prive;CDI;Etranger;;Royaume-Uni;3;PPD;250_4999;Qualite, securite, sûrete de fonctionnement ;Specialiste en information medicale ;Industrie pharmaceutique;41000;NON;NON;NON;NON;3;4;4;3;3
21/01/2020 18:29;Homme;1777059846996580    ;2017;Initiale;MAT;Activite;Prive;CDI;France;Occitanie;;24;Alten;5000_;Qualite, securite, sûrete de fonctionnement ;Ingenieur qualite ;Societes de conseil ou d'ingenieurie, bureaux d'etudes independants;33000;NON;NON;NON;OUI;4;5;3;4;5
11/01/2020 10:12;Femme;1789080967437430    ;2017;Initiale;STE;Activite;Prive;CDI;France;Provence-Alpes-Cote d'Azur;;14;Cnim;250_4999;Production - Exploitation ;Ingenieur process ;Industrie chimique;;NON;NON;NON;NON;4;4;4;4;5
10/01/2020 16:43;Homme;1882881049834530    ;2017;Initiale;MEA;Activite;Prive;CDI;France;Occitanie;;28;IoTerop;10_19;Informatique industrielle et technique ;Ingenieur embarque systeme;Telecommunications;33000;NON;NON;NON;OUI;4;4;3;5;4
10/01/2020 18:26;Homme;1806734045417840    ;2017;Initiale;STE;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;1;Sopra Steria ;250_4999;Assistance technique;Appuie support informatique ;Activites informatiques et services d'information (TIC services);26000;NON;NON;NON;NON;3;5;3;2;4
13/01/2020 09:25;Homme;1982920793866040    ;2017;Apprentissage;EGC;Activite;Prive;CDI;France;Provence-Alpes-Cote d'Azur;;16;Eiffage Genie Civil;5000_;Production - Exploitation ;Ingenieur Travaux;Construction, BTP;40000;OUI;OUI;OUI;OUI;3;4;3;4;4
10/01/2020 21:22;Femme;1783045885270760    ;2017;Initiale;GBA;Activite;Prive;CDI;France;Pays de la Loire;;1;Les serres de la piogerie;250_4999;Production - Exploitation ;;Industrie agroalimentaire ;40000;OUI;NON;OUI;OUI;5;5;4;5;5
11/01/2020 11:28;Femme;1775640761912420    ;2017;Professionalisation;GBA;Activite;Prive;CDI;France;Occitanie;;29;Impac ingenierie ;250_4999;;Clinical Supply Packaging Manager ;Industrie pharmaceutique;39000;NON;NON;NON;OUI;4;5;4;4;3
10/01/2020 16:12;Homme;1776102349584110    ;2017;Apprentissage;SE;These;;;;;;;;;;;;;;;;;;;;;
10/01/2020 18:53;Homme;1888636169617940    ;2017;Initiale;IG;Activite;Prive;CDI;France;Occitanie;;11;Altran;5000_;Etudes et developpement en systemes d'information ;Consultant;Activites informatiques et services d'information (TIC services);32000;NON;NON;NON;NON;4;5;3;3;5
10/01/2020 18:12;Homme;1782851145585420    ;2017;Apprentissage;MSI;Activite;Prive;CDI;Etranger;;GABON;0;TISSOT INDUSTRIE SAS;50_249;Production - Exploitation ;;Metallurgie et fabrication de produits metalliques a l'exception des machines et des equipements;65000;NON;OUI;NON;OUI;4;3;3;5;3
11/01/2020 09:17;Femme;1793744700896510    ;2017;Initiale;MAT;Activite;Prive;CDI;France;Occitanie;;25;Alten ;5000_;Methodes, controle de production, maintenance;Methodes usinage sur site de production ;Societes de conseil ou d'ingenieurie, bureaux d'etudes independants;33000;OUI;NON;OUI;OUI;4;5;3;4;5
