Date;identifiant;Genre;Annee_diplome;Type_formation;Filiere;Situation;Secteur;Nature_contrat;France;Region;Pays;Anciennete;Nom_entreprise;Taille_entreprise;Departement;Intitule_poste;Secteur_activite;Salaire_annuel;Responsabilite_hierarchique;Responsabilite_budget;Responsabilite_equipe;Responsabilite_projet;Satisfaction_globale;Saitisfaction_relations;Satisfaction_salaire;Satisfaction_autonomie;Satisfaction_localisation
14/03/2018 22:44;1877069833744240;Homme;2017;Initiale;MEA;Activite;Prive;CDI;En France;Auvergne-Rhône-Alpes;;2;Ponant Technologies;De 20 à 49 salarié(e)s ;Informatique industrielle et technique ;Ingénieur développement logiciels;Sociétés de conseil, bureaux d'études;31500;NON;NON;NON;NON;5;5;5;5;5
14/03/2018 19:18;1867772706661410;Homme;2017;Initiale;MEA;Activite;Prive;CDI;En France;Île-de-France;;6;Apside Technologies;250 à  4 999 salarié(e)s ;Informatique industrielle et technique ;Ingenieur FPGA;Recherche-développement scientifique;33000;NON;NON;NON;NON;4;5;3;4;2
09/03/2018 21:36;1783164948056770;Homme;2017;Initiale;MEA;Activite;Prive;CDI;En France;Île-de-France;;2;;De 20 à 49 salarié(e)s ;Informatique industrielle et technique ;Ingénieur Traitement d'images embarqué ;Industrie automobile, aéronautique, navale, ferroviaire;36000;NON;NON;NON;NON;1;4;4;4;4
09/03/2018 11:54;1777070157836320;Homme;2017;Initiale;MEA;These;;;;;;;;;;;;;;;;;;;;;
08/03/2018 17:22;1885320205889630;Homme;2017;Initiale;MEA;Recherche;;;;;;;;;;;;;;;;;;;;;
08/03/2018 21:29;1782336119224670;Homme;2017;Initiale;MEA;Activite;Prive;CDI;En France;Auvergne-Rhône-Alpes;;4;Assystem;5 000 salarié(e)s ou plus;Informatique industrielle et technique ;Ingénieur Model Based Design;Activités juridiques, comptables, de gestion, d'architecture, d'ingénierie, de contrôle et d'analyses techniques;32000;NON;NON;NON;NON;4;5;2;3;3
08/03/2018 20:24;1802846092404660;Homme;2017;Initiale;MEA;These;;;;;;;;;;;;;;;;;;;;;
08/03/2018 18:54;1782455519326140;Femme;2017;Initiale;MEA;Activite;Prive;CDI;En France;Occitanie;;7;IOTEROP; Moins de 10 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Ingénieur Développement;Télécommunications;29000;NON;NON;NON;OUI;5;4;3;5;5
14/03/2018 18:09;1782850313432270;Femme;2017;Initiale;MEA;Activite;Prive;CDI;En France;Île-de-France;;5;Innovateam;De 50 à 249 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Ingénieur d'étude et recherche;Autres activités spécialisées, scientifiques et techniques;36000;NON;NON;NON;NON;1;5;2;3;3
09/03/2018 12:27;1783165082353270;Homme;2017;Initiale;MEA;Activite;Prive;CDI;En France;Occitanie;;7;Serma Ingenierie;250 à  4 999 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Ingénieur FPGA;Industrie automobile, aéronautique, navale, ferroviaire;28200;NON;NON;NON;NON;4;4;3;4;4
09/03/2018 09:44;1776102214054560;Homme;2017;Initiale;MEA;Activite;Prive;CDI;En France;Occitanie;;6;BIT Group France;De 20 à 49 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);ingénieur en Electronique;Industrie pharmaceutique;34344;NON;NON;NON;NON;4;4;4;4;5
08/03/2018 17:30;1776102349584110;Homme;2017;Apprentissage;SE;These;;;;;;;;;;;;;;;;;;;;;
14/03/2018 19:15;1767833505039570;Homme;2017;Apprentissage;SE;These;;;;;;;;;;;;;;;;;;;;;
08/03/2018 18:23;1789139230825060;Homme;2017;Apprentissage;SE;Activite;Prive;CDI;En France;Occitanie;;6;NanoXplore;De 20 à 49 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Ingénieur recherche et développement;Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements;38000;NON;NON;NON;OUI;5;5;4;4;5
08/03/2018 17:36;1789086561411020;Femme;2017;Apprentissage;SE;Activite;Prive;CDI;En France;Île-de-France;;6;MBDA;250 à  4 999 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Ingenieur Specialiste conception moyens essais spécifiques ;Autres secteurs ;41000;NON;OUI;NON;OUI;4;4;4;4;0
09/03/2018 09:11;1794681019749420;Homme;2017;Apprentissage;SE;These;;;;;;;;;;;;;;;;;;;;;
13/03/2018 10:17;1789078677755080;Homme;2017;Initiale;ENR;Recherche;Public;CDD;;;;;;;;;;;;;;;;;;;
09/03/2018 14:17;1882519960739120;Homme;2017;Initiale;ENR;Activite;Prive;CDD;En France;Île-de-France;;6;Greensolver;De 20 à 49 salarié(e)s ;Exploitation / maintenance informatique ;Gestionnaire d'actif;Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné);;NON;OUI;NON;OUI;4;5;2;3;4
08/03/2018 19:38;1889139174554320;Femme;2017;Initiale;ENR;Recherche;;;;;;;;;;;;;;;;;;;;;
14/03/2018 15:57;1782851081127970;Homme;2017;Apprentissage;MSI;Volontariat;;;;;;;;;;;;;;;;;;;;;
08/03/2018 19:13;1882331879034060;Homme;2017;Initiale;ENR;Activite;Prive;CDI;En France;Île-de-France;;1;Ingélib; Moins de 10 salarié(e)s ;Etudes - Conseil et expertise (autre qu'informatique);Ingénieur projet;Sociétés de conseil, bureaux d'études;35500;NON;OUI;NON;OUI;4;5;4;4;3
30/04/2018 22:16;1798760225386290;Homme;2017;Initiale;ENR;Activite;Prive;CDD;En France;Île-de-France;;2;Total Solar;De 50 à 249 salarié(e)s ;Etudes - Conseil et expertise (autre qu'informatique);Ingénieur de projet;Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné);36000;NON;OUI;NON;OUI;3;3;4;2;2
15/03/2018 10:57;1789139014496940;Homme;2017;Initiale;ENR;Recherche;;;;;;;;;;;;;;;;;;;;;
14/03/2018 14:56;1783551800309570;Homme;2017;Initiale;ENR;Activite;Prive;CDI;En France;Occitanie;;7;VSB Énergies Nouvelles;De 50 à 249 salarié(e)s ;Commercial(e) (dont ingénieur(e) d'affaire) ;Chargé d'Affaires;Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné);32000;NON;NON;NON;OUI;4;3;3;5;5
09/03/2018 09:24;1788742523348860;Homme;2017;Initiale;IG;Activite;Prive;CDI;En France;Occitanie;;6;CGI;5 000 salarié(e)s ou plus;Informatique industrielle et technique ;Consultant SAP;Activités informatiques et services d'information (TIC services);29000;NON;NON;NON;NON;3;3;2;4;4
08/03/2018 17:36;1888636169617940;Homme;2017;Initiale;IG;Activite;Prive;CDI;En France;Occitanie;;6;Acelys services numériques;De 50 à 249 salarié(e)s ;Informatique industrielle et technique ;Analyste Developpeur;Activités informatiques et services d'information (TIC services);28000;NON;NON;NON;NON;3;5;2;3;5
